,City,Airport,Enplanements,Link,latitude,longitude
0,Atlanta,Hartsfield–Jackson Atlanta International Airport,50501858.0,/wiki/Hartsfield%E2%80%93Jackson_Atlanta_International_Airport,33.63667,-84.42806
1,Los Angeles,Los Angeles International Airport,39636042.0,/wiki/Los_Angeles_International_Airport,33.9425,-118.40806
2,Chicago,Chicago O'Hare International Airport,37589899.0,/wiki/O%27Hare_International_Airport,41.97861,-87.90472
3,Dallas,Dallas/Fort Worth International Airport,31283579.0,/wiki/Dallas/Fort_Worth_International_Airport,32.89694,-97.03806
4,Denver,Denver International Airport,28267394.0,/wiki/Denver_International_Airport,39.86167,-104.67306
5,San Francisco,San Francisco International Airport,25707101.0,/wiki/San_Francisco_International_Airport,37.61889,-122.375
6,Orlando,Orlando International Airport,24562271.0,/wiki/Orlando_International_Airport,28.42944,-81.30889
7,Las Vegas,McCarran International Airport,22833267.0,/wiki/McCarran_International_Airport,36.08,-115.15222
8,Seattle / Tacoma (SeaTac),Seattle–Tacoma International Airport,21887110.0,/wiki/Seattle%E2%80%93Tacoma_International_Airport,47.44889,-122.30944
9,Charlotte,Charlotte/Douglas International Airport,21511880.0,/wiki/Charlotte/Douglas_International_Airport,35.21389,-80.94306
10,Miami,Miami International Airport,21421031.0,/wiki/Miami_International_Airport,25.79333,-80.29056
11,Phoenix,Phoenix Sky Harbor International Airport,20896265.0,/wiki/Phoenix_Sky_Harbor_International_Airport,33.43417,-112.01167
12,Houston,George Bush Intercontinental Airport,20062072.0,/wiki/George_Bush_Intercontinental_Airport,29.98444,-95.34139
13,New York / Newark,Newark Liberty International Airport,19923009.0,/wiki/Newark_Liberty_International_Airport,40.6925,-74.16861
14,Fort Lauderdale,Fort Lauderdale–Hollywood International Airport,17950989.0,/wiki/Fort_Lauderdale%E2%80%93Hollywood_International_Airport,26.0725,-80.15278
15,Boston,Gen. Edward Lawrence Logan International Airport,17759044.0,/wiki/Logan_International_Airport,42.36306,-71.00639
16,Detroit,Detroit Metropolitan Airport,16847135.0,/wiki/Detroit_Metropolitan_Airport,42.2125,-83.35333
17,Philadelphia,Philadelphia International Airport,15285948.0,/wiki/Philadelphia_International_Airport,39.87194,-75.24111
18,Baltimore,Baltimore/Washington International Thurgood Marshall Airport,13371816.0,/wiki/Baltimore/Washington_International_Thurgood_Marshall_Airport,39.17528,-76.66833
19,"Washington, D.C. / Arlington County",Ronald Reagan Washington National Airport,11470854.0,/wiki/Ronald_Reagan_Washington_National_Airport,38.85222,-77.03778
20,Salt Lake City,Salt Lake City International Airport,11143738.0,/wiki/Salt_Lake_City_International_Airport,40.78833,-111.97778
21,Chicago,Chicago Midway International Airport,11044387.0,/wiki/Chicago_Midway_International_Airport,41.78611,-87.7525
22,Tampa,Tampa International Airport,10941173.0,/wiki/Tampa_International_Airport,27.97556,-82.53333
23,"Washington, D.C. / Dulles / Chantilly",Washington Dulles International Airport,10596942.0,/wiki/Washington_Dulles_International_Airport,38.94444,-77.45583
24,"Honolulu, Oahu",Daniel K. Inouye International Airport,9656340.0,/wiki/Daniel_K._Inouye_International_Airport,21.31861,-157.9225
25,Portland,Portland International Airport,9071154.0,/wiki/Portland_International_Airport,45.58861,-122.5975
26,St. Louis,St. Louis Lambert International Airport,6793076.0,/wiki/St._Louis_Lambert_International_Airport,38.74722,-90.36139
27,Houston,William P. Hobby Airport,6285181.0,/wiki/William_P._Hobby_Airport,29.64556,-95.27889
28,Austin,Austin-Bergstrom International Airport,6095545.0,/wiki/Austin-Bergstrom_International_Airport,30.19444,-97.67
29,Oakland,Oakland International Airport,5934639.0,/wiki/Oakland_International_Airport,37.72139,-122.22083
30,New Orleans,Louis Armstrong New Orleans International Airport,5569705.0,/wiki/Louis_Armstrong_New_Orleans_International_Airport,29.99333,-90.25806
31,San Jose,Norman Y. Mineta San José International Airport,5321603.0,/wiki/San_Jose_International_Airport,37.36278,-121.92917
32,Fort Myers,Southwest Florida International Airport,5044024.0,/wiki/Southwest_Florida_International_Airport,26.53611,-81.75528
33,Sacramento,Sacramento International Airport,4969366.0,/wiki/Sacramento_International_Airport,38.69556,-121.59083
34,Pittsburgh,Pittsburgh International Airport,4670954.0,/wiki/Pittsburgh_International_Airport,40.496,-80.246
35,San Juan / Carolina,Luis Muñoz Marín International Airport,4343354.0,/wiki/Luis_Mu%C3%B1oz_Mar%C3%ADn_International_Airport,18.43917,-66.00194
36,Ontario,Ontario International Airport,4217366.0,/wiki/Ontario_International_Airport,34.05611,-117.60111
37,Indianapolis,Indianapolis International Airport,4216766.0,/wiki/Indianapolis_International_Airport,39.71722,-86.29444
38,San Antonio,San Antonio International Airport,4179994.0,/wiki/San_Antonio_International_Airport,29.52667,-98.47194
39,Cleveland,Cleveland-Hopkins International Airport,4083476.0,/wiki/Cleveland-Hopkins_International_Airport,41.41167,-81.84972
40,Columbus,John Glenn Columbus International Airport,3567864.0,/wiki/John_Glenn_Columbus_International_Airport,39.99806,-82.89194
41,Jacksonville,Jacksonville International Airport,3479923.0,/wiki/Jacksonville_International_Airport,30.49417,-81.68778
